ID,Company,TypeName,Inches,Ram,Weight,Price_euros,Screen,Touchscreen,CPU_freq,PrimaryStorage,PrimaryStorageType
259,Lenovo,2 in 1 Convertible,15.6,8,2,1699,Full HD,Yes,2.8,512,SSD
260,Dell,Notebook,17.3,8,2.8,1142,Full HD,No,1.8,128,SSD
261,Lenovo,Notebook,15.6,4,2.2,444,Full HD,No,2,256,SSD
262,HP,Notebook,15.6,4,2.1,722,Full HD,No,1.6,500,HDD
263,Dell,Notebook,15.6,4,2.18,657,Full HD,No,2.5,1024,HDD
264,Dell,Notebook,15.6,8,2.24,565,Full HD,No,2.5,1024,HDD
265,Dell,2 in 1 Convertible,15.6,8,2.67,799,Full HD,Yes,1.6,256,SSD
266,Asus,2 in 1 Convertible,13.3,8,1.1,1499,Full HD,Yes,1.8,512,SSD
267,Lenovo,Notebook,15.6,4,2.2,467,Full HD,No,2.5,1024,HDD
268,HP,Notebook,17.3,8,2.5,1018,Full HD,No,1.8,1024,HDD
269,Lenovo,Notebook,15.6,8,2.05,880,Full HD,No,1.8,256,SSD
270,Apple,Ultrabook,13.3,8,1.37,1958.9,Standard,No,2.9,512,SSD
271,Asus,Gaming,17.3,16,3.2,1549,Full HD,No,3,256,SSD
272,Dell,Notebook,15.6,8,2.14,735.07,Full HD,No,1.8,256,SSD
273,Lenovo,2 in 1 Convertible,14,16,1.36,2499,Standard,Yes,2.6,512,SSD
274,Toshiba,Notebook,15.6,8,2.2,812,Standard,No,2.5,500,HDD
275,Dell,Notebook,15.6,12,2.3,713.07,Standard,No,2.7,1024,HDD
276,Dell,Notebook,17.3,8,2.8,1099,Full HD,No,1.8,128,SSD
277,Acer,Notebook,15.6,8,2.2,745,Full HD,No,1.8,1024,HDD
278,Lenovo,Notebook,17.3,4,2.8,489,Standard,No,2,1024,HDD
279,Lenovo,Notebook,17.3,8,2.8,849,Full HD,No,1.8,2048,HDD
280,Lenovo,Notebook,17.3,6,2.8,859,Standard,No,2.7,128,SSD
281,Dell,Notebook,15.6,4,2.25,428,Full HD,No,2,1024,HDD
282,Lenovo,Gaming,15.6,8,2.5,829,Full HD,No,2.5,256,SSD
283,Lenovo,Notebook,15.6,6,2.2,579,Full HD,No,2.5,256,SSD
284,Acer,Notebook,15.6,8,3,951,Full HD,No,1.8,256,SSD
285,Acer,Notebook,15.6,12,2.15,659,Full HD,Yes,2.7,1024,HDD
286,Lenovo,Notebook,15.6,8,1.95,1097,Full HD,No,2.7,256,SSD
287,Asus,Ultrabook,15.6,8,1.7,977,Full HD,No,2.5,256,SSD
288,Lenovo,Gaming,15.6,16,2.5,1179,Full HD,No,2.8,256,SSD
289,Lenovo,Notebook,15.6,8,2.2,659.01,Full HD,No,2.7,1024,HDD
290,Acer,Notebook,15.6,2,2.19,199,Standard,No,1.5,16,SSD
291,Asus,Gaming,17.3,8,3,1187,Full HD,No,2.8,1024,HDD
292,HP,Notebook,17.3,8,2.54,489,Standard,No,2,1024,HDD
293,Dell,Notebook,15.6,8,2,1829,Full HD,No,2.8,256,SSD
294,Lenovo,Notebook,15.6,8,2.05,739,Full HD,No,1.6,256,SSD
295,Lenovo,Gaming,15.6,8,3.2,1299,Full HD,No,2.8,1024,HDD
296,Acer,Notebook,15.6,8,2.5,979,Full HD,No,2.8,256,SSD
297,Dell,Workstation,17.3,16,3.42,2884.86,Full HD,No,2.9,256,SSD
298,Lenovo,Notebook,15.6,6,2.4,499,Full HD,No,2.4,1024,HDD
299,Asus,Ultrabook,15.6,16,1.63,1468,Full HD,No,2.7,512,SSD
300,Asus,Notebook,14,4,1.3,509,Standard,No,2.4,128,SSD
301,Asus,Gaming,17.3,16,2.9,2122,Full HD,No,2.8,256,SSD
302,Lenovo,Notebook,17.3,6,2.8,649,Standard,No,2.5,1024,HDD
303,Lenovo,Notebook,15.6,8,2.2,549,Standard,No,2.5,2048,HDD
304,Asus,Gaming,15.6,8,2.5,1265,Full HD,No,2.8,128,SSD
305,Lenovo,Notebook,15.6,4,2.2,359.99,Standard,No,1.1,1024,HDD
306,HP,2 in 1 Convertible,13.3,16,1.28,1975,Full HD,Yes,2.8,256,SSD
307,Toshiba,Notebook,15.6,8,2.2,1043,Full HD,No,2.5,256,SSD
308,Lenovo,Notebook,15.6,8,2.3,819,Full HD,No,2.5,128,SSD
309,HP,Notebook,15.6,4,1.86,469,Full HD,No,2,1024,HDD
310,Lenovo,Notebook,13.3,8,1.1,999,Full HD,No,2.5,256,SSD
311,Dell,Ultrabook,13.3,16,1.21,2499,4K Ultra HD,Yes,1.8,1024,SSD
312,MSI,Gaming,15.6,16,2.8,2099,Full HD,No,2.8,256,SSD
313,Acer,Notebook,15.6,8,2.23,469,Full HD,No,2.2,256,SSD
314,Asus,2 in 1 Convertible,11.6,2,1.1,275,Standard,Yes,1.1,32,Flash Storage
315,Dell,Notebook,15.6,8,2.33,844,Full HD,No,1.6,128,SSD
316,HP,2 in 1 Convertible,13.3,16,1.29,2449,4K Ultra HD,Yes,1.8,1024,SSD
317,Lenovo,Notebook,13.3,4,1.45,459.9,Standard,No,1.6,16,Flash Storage
318,HP,Notebook,14,8,1.95,980,Full HD,No,2.5,256,SSD
319,Acer,Notebook,11.6,4,1.4,485,Standard,No,1.6,128,Flash Storage
320,HP,Notebook,14,8,1.48,1292,Full HD,No,2.7,256,SSD
321,Lenovo,Notebook,17.3,4,2.79,589,Standard,No,2.5,1024,HDD
322,Asus,Notebook,14,8,2,1094,Full HD,No,2.7,256,SSD
323,HP,Notebook,15.6,8,2.1,902,Full HD,No,1.8,1024,HDD
324,Acer,Notebook,15.6,8,2.2,659,Standard,No,2.7,256,SSD
325,Lenovo,Notebook,14,4,1.44,292,Standard,No,1.1,32,Flash Storage
326,Acer,Notebook,15.6,6,2.23,549,Standard,No,2.5,1024,HDD
327,Asus,Ultrabook,15.6,8,1.7,1049.9,Full HD,No,2.7,256,SSD
328,HP,Ultrabook,12.5,8,1.26,1335,Full HD,No,2.7,256,SSD
329,Dell,Notebook,15.6,32,2.06,2639,4K Ultra HD,Yes,2.8,1024,SSD
330,MSI,Gaming,17.3,8,2.7,1199,Full HD,No,2.8,256,SSD
331,Toshiba,Notebook,15.6,8,2,943,Full HD,No,2.5,256,SSD
332,Asus,Notebook,14,8,2,1334,Full HD,No,2.7,256,SSD
333,Lenovo,Notebook,15.6,4,1.85,449,Full HD,No,2,1024,HDD
334,Asus,Gaming,15.6,8,2.5,999,Full HD,No,2.8,256,SSD
335,HP,Notebook,14,8,1.48,1268,Full HD,No,2.6,256,SSD
336,Dell,Ultrabook,15.6,8,1.9,1049,Full HD,No,1.6,128,SSD
337,HP,Notebook,15.6,8,1.84,1144,Full HD,No,2.5,256,SSD
338,Asus,Notebook,15.6,4,2,274.99,Standard,No,1.1,1024,HDD
339,Dell,Notebook,15.6,8,2,1142.75,Full HD,No,1.6,256,SSD
340,Dell,Notebook,15.6,4,2.2,274.9,Standard,No,1.6,500,HDD
341,Lenovo,Notebook,15.6,12,2.2,899,Full HD,No,3.6,2048,HDD
342,HP,Notebook,15.6,8,2.1,716,Full HD,No,2.4,1024,HDD
343,Lenovo,2 in 1 Convertible,13.9,16,1.4,2099,4K Ultra HD,Yes,1.8,512,SSD
344,Dell,Ultrabook,13.3,8,1.2,1579,Full HD,No,1.8,256,SSD
345,Lenovo,Gaming,15.6,16,2.4,1129,Full HD,No,2.8,256,SSD
346,HP,Notebook,14,2,1.44,279,Standard,No,1.6,32,Flash Storage
347,Dell,Ultrabook,15.6,16,1.88,1607.96,Full HD,No,1.9,512,SSD
348,Asus,2 in 1 Convertible,11.6,4,1.5,375,Standard,Yes,1.1,32,Flash Storage
349,Dell,Ultrabook,15.6,8,1.9,663,Full HD,No,1.6,1024,HDD
350,Dell,Notebook,15.6,16,2.06,2027.42,4K Ultra HD,Yes,2.8,512,SSD
351,HP,Notebook,15.6,8,1.84,1304,Full HD,No,2.7,256,SSD
352,MSI,Gaming,17.3,8,2.7,1409,Full HD,No,2.8,128,SSD
353,HP,Workstation,15.6,8,2.6,1738.27,Full HD,No,2.8,256,SSD
354,Toshiba,Notebook,15.6,16,2.4,1403,Full HD,No,2.5,512,SSD
355,Dell,Notebook,15.6,8,2.02,970.9,Full HD,No,1.8,128,SSD
356,Lenovo,Notebook,15.6,4,2.2,321.99,Standard,No,1.1,1024,HDD
357,Dell,Gaming,15.6,8,2.65,999,Full HD,No,2.5,1024,HDD
358,Dell,Notebook,15.6,8,2.36,557.37,Standard,Yes,2.5,2048,HDD
359,Dell,Notebook,14,8,1.36,1427,Full HD,No,2.6,256,SSD
360,HP,Notebook,15.6,4,1.86,439,Standard,No,2,500,HDD
361,Asus,Notebook,14,8,2,945,Full HD,No,2.5,256,SSD
362,Lenovo,Notebook,17.3,6,2.8,719,Standard,No,2.5,128,SSD
363,HP,Notebook,15.6,8,1.86,639,Full HD,No,2.5,1024,HDD
364,Lenovo,Notebook,15.6,8,2.2,499,Standard,No,2,256,SSD
365,HP,Notebook,15.6,8,2.04,389,Standard,No,1.6,2048,HDD
366,Dell,Notebook,17.3,8,2.8,1085,Full HD,No,1.6,128,SSD
367,Lenovo,Gaming,15.6,8,2.4,809,Full HD,No,2.5,128,SSD
368,Dell,Notebook,15.6,8,2.33,899,Full HD,No,2.7,256,SSD
369,HP,Ultrabook,14,8,1.36,1750,Full HD,No,2.7,256,SSD
370,Asus,2 in 1 Convertible,15.6,12,2.26,1099,Full HD,Yes,2.7,512,SSD
371,Acer,Notebook,15.6,4,2.1,426,Standard,No,3,128,SSD
372,Asus,Gaming,17.3,16,3.25,2199,Full HD,No,3,256,SSD
373,Lenovo,Notebook,17.3,4,2.6,489,Standard,No,2.2,128,SSD
374,Dell,2 in 1 Convertible,13.3,8,1.62,869.01,Full HD,Yes,1.8,256,SSD
375,HP,Notebook,15.6,4,1.91,488.99,Full HD,No,3,256,SSD
376,Lenovo,Netbook,11.6,4,1.59,553,Standard,No,1.1,128,SSD
377,Dell,Notebook,15.6,4,1.8,309,Standard,No,1.6,500,HDD
378,Asus,Notebook,14,4,1.5,286,Standard,No,1.1,32,Flash Storage
379,Acer,Notebook,15.6,8,2.4,846,Full HD,No,2.8,1024,HDD
380,HP,Gaming,17.3,8,3.35,1191,Full HD,No,2.8,128,SSD
381,Lenovo,Notebook,15.6,4,1.85,403.5,Full HD,No,2,128,SSD
382,Asus,Gaming,15.6,8,2.3,1655,Full HD,No,2.8,128,SSD
383,Lenovo,Notebook,14,8,1.5,1099,Full HD,No,2.5,256,SSD
384,Asus,Ultrabook,13.3,16,1.1,1748.9,Full HD,Yes,2.7,512,SSD
385,Lenovo,Ultrabook,14,8,1.13,2282,Standard,No,2.7,512,SSD
386,Lenovo,Notebook,13.3,4,1.5,549,Full HD,No,2.4,128,SSD
387,Dell,Workstation,15.6,8,2.23,1369,Full HD,No,2.6,500,HDD
388,Dell,Workstation,15.6,8,2,2135,Full HD,No,2.7,256,SSD
389,Lenovo,2 in 1 Convertible,14,16,1.42,2509,Standard,Yes,2.7,512,SSD
390,Asus,Gaming,17.3,8,3,1039,Full HD,No,2.8,1024,HDD
391,Asus,Gaming,17.3,16,3,1591,Full HD,No,2.8,256,SSD
392,Acer,Notebook,15.6,12,2.2,693.99,Standard,No,1.6,1024,HDD
393,MSI,Gaming,17.3,8,2.7,1349,Full HD,No,2.8,256,SSD
394,Dell,Notebook,15.6,8,2.33,778.87,Full HD,No,2.7,256,SSD
395,HP,Ultrabook,15.6,4,1.91,499,Full HD,No,3,256,SSD
396,Lenovo,Notebook,15.6,8,2.1,1229.56,Full HD,No,1.8,256,SSD
397,Lenovo,Notebook,14,8,1.9,938,Full HD,No,2.5,256,SSD
398,Dell,Workstation,15.6,8,1.78,2712,4K Ultra HD,Yes,2.8,256,SSD
399,Lenovo,Ultrabook,14,16,1.13,2625,Standard,No,2.7,1024,SSD
400,Lenovo,Notebook,15.6,4,2.2,306,Standard,No,1.1,1024,HDD
401,Asus,Gaming,17.3,16,2.9,1529,Full HD,No,2.8,256,SSD
402,Lenovo,Notebook,15.6,8,2.1,1144.5,Full HD,No,1.6,256,SSD
403,Acer,Notebook,15.6,8,2.5,879,Full HD,No,2.8,256,SSD
404,MSI,Gaming,17.3,16,2.8,2249,Full HD,No,2.8,256,SSD
405,Asus,Ultrabook,14,8,1.1,1873,Full HD,No,2.7,512,SSD
406,Toshiba,Ultrabook,13.3,16,1.2,1747,Full HD,No,2.5,512,SSD
407,Dell,Ultrabook,14,8,1.36,1680,Full HD,No,2.8,512,SSD
408,Lenovo,Notebook,15.6,4,2.2,409,Full HD,No,2,500,HDD
409,Lenovo,Notebook,11.6,2,1.15,304.45,Standard,No,1.1,32,Flash Storage
410,Lenovo,Workstation,15.6,8,2.67,1925,Full HD,No,2.8,512,SSD
411,Lenovo,Ultrabook,14,8,1.7,1943,Full HD,No,2.8,512,SSD
412,HP,Notebook,15.6,4,2.1,469,Full HD,No,2,1024,HDD
413,Acer,2 in 1 Convertible,13.3,8,1.6,789.01,Full HD,Yes,2.5,256,SSD
414,Asus,2 in 1 Convertible,13.3,8,1.27,928,Full HD,Yes,2.5,256,SSD
415,Dell,Notebook,15.6,4,2.3,598.9,Full HD,No,2.5,256,SSD
416,Dell,Notebook,13.3,4,1.65,689,Standard,No,2,128,SSD
417,HP,Ultrabook,14,8,1.43,1500,Full HD,No,2.5,256,SSD
418,Dell,Notebook,15.6,8,2.14,539.95,Standard,No,2.5,1024,HDD
419,Lenovo,Ultrabook,14,8,1.75,1215.38,Full HD,No,1.8,256,SSD
420,Lenovo,2 in 1 Convertible,15.6,16,2,1899,4K Ultra HD,Yes,2.8,512,SSD
421,Chuwi,Notebook,12.3,6,1.4,449,Standard,No,1.1,64,Flash Storage
422,HP,Notebook,15.6,8,2.31,1427,Full HD,No,2.9,256,SSD
423,Asus,Notebook,15.6,8,2.3,597,Full HD,No,2.4,1024,HDD
424,Dell,Gaming,17.3,16,4.42,2799,Standard,No,2.9,256,SSD
425,Dell,Gaming,15.6,8,2.62,1159,Full HD,No,2.8,128,SSD
426,Dell,Notebook,15.6,8,2.02,1142.4,Full HD,No,1.8,256,SSD
427,Dell,Ultrabook,14,8,1.6,1099,Full HD,No,2.8,256,SSD
428,HP,Gaming,17.3,12,3.35,1999,Full HD,No,2.8,256,SSD
429,Mediacom,2 in 1 Convertible,11.6,4,1.16,299,Full HD,Yes,1.1,32,SSD
430,Samsung,Netbook,11.6,4,1.15,269,Standard,No,1.6,16,Flash Storage
431,Lenovo,Notebook,13.3,8,1.4,1010,Full HD,No,2.7,256,SSD
432,Lenovo,Notebook,14,4,1.7,599,Full HD,No,2.7,128,SSD
433,Lenovo,Workstation,15.6,16,2.3,2445,4K Ultra HD,No,2.8,512,SSD
434,Lenovo,Notebook,15.6,16,2.5,2449,Full HD,No,2.9,512,SSD
435,Asus,Gaming,17.3,8,3.2,1695,Full HD,No,3.2,256,SSD
436,HP,Notebook,15.6,4,2.1,347,Standard,No,1.6,500,HDD
437,Google,Ultrabook,12.3,16,1.1,2199,Standard,Yes,1.3,512,SSD
438,Lenovo,Ultrabook,14,24,1.32,2382,Standard,No,2.7,512,SSD
439,Asus,Notebook,15.6,4,2,559,Full HD,No,2.5,256,SSD
440,Lenovo,Notebook,17.3,8,2.8,519,Standard,No,2.5,1024,HDD
441,Dell,Notebook,15.6,4,2.2,749,Full HD,No,1.6,256,SSD
442,Lenovo,Ultrabook,12.5,8,1.36,1429,Full HD,No,2.5,256,SSD
443,Lenovo,Notebook,15.6,4,2.2,349,Full HD,No,1.1,128,SSD
444,HP,Gaming,15.6,8,2.2,1099,Full HD,No,2.8,128,SSD
445,Dell,Notebook,14,8,1.64,1179,Full HD,No,2.8,256,SSD
446,Acer,Notebook,15.6,4,2.4,441.8,Standard,No,2.5,500,HDD
447,Dell,Workstation,15.6,8,2.23,1993,Full HD,No,3,64,Flash Storage
448,MSI,Gaming,15.6,8,2.2,1027.74,Full HD,No,2.5,256,SSD
449,Microsoft,Ultrabook,13.5,16,1.25,2589,Standard,Yes,2.5,512,SSD
450,HP,Notebook,15.6,8,1.91,589,Standard,No,2.5,128,SSD
451,Dell,Workstation,15.6,16,2.17,1975,Full HD,No,2.7,256,SSD
452,HP,Workstation,15.6,8,2.31,1534,Full HD,No,2.9,512,SSD
453,Lenovo,Notebook,14,8,1.65,1345,Full HD,No,2.5,256,SSD
454,Dell,Notebook,15.6,8,2.36,979,Full HD,No,1.8,128,SSD
455,Dell,2 in 1 Convertible,11.6,4,1.47,479,Standard,Yes,1.6,500,HDD
456,Dell,Notebook,17.3,8,4.42,2046,Full HD,No,2.7,1024,HDD
457,Microsoft,Ultrabook,13.5,4,1.252,989,Standard,Yes,2.2,128,SSD
458,Microsoft,Ultrabook,13.5,8,1.25,1799,Standard,Yes,2.5,256,SSD
459,HP,Notebook,17.3,8,2.5,639.9,Standard,No,2,256,SSD
460,Acer,Notebook,15.6,4,2.23,544,Full HD,No,2,1024,HDD
461,Acer,Netbook,11.6,4,1.4,435,Standard,No,1.6,128,SSD
462,Asus,Notebook,15.6,8,2.37,749,Full HD,No,2.5,1024,HDD
463,Lenovo,Notebook,14,8,1.5,799,Full HD,No,2.7,512,SSD
464,Lenovo,Notebook,15.6,8,2.67,2090,Full HD,No,2.9,256,SSD
465,Asus,Notebook,15.6,4,2,304,Standard,No,1.1,500,HDD
466,Acer,Notebook,15.6,4,2.2,469,Standard,No,2,500,HDD
467,Dell,Notebook,15.6,8,2.02,759,Full HD,No,1.6,2048,HDD
468,HP,Gaming,17.3,12,3.78,1699,Full HD,No,2.8,1024,HDD
469,Lenovo,Ultrabook,14,12,1.4,1858,Quad HD+,No,2.6,256,SSD
470,HP,2 in 1 Convertible,13.3,8,1.29,1999,4K Ultra HD,Yes,1.8,512,SSD
471,HP,Notebook,15.6,8,1.9,1154,Full HD,No,2.5,500,HDD
472,Google,Ultrabook,12.3,8,1.1,1275,Standard,Yes,1.2,128,SSD
473,Dell,Ultrabook,13.3,8,1.42,1841.85,Full HD,Yes,1.6,256,SSD
474,Asus,Notebook,15.6,12,2.06,1299,4K Ultra HD,No,2.6,128,SSD
475,Dell,Notebook,14,8,1.79,740,Standard,No,2.3,128,SSD
476,Dell,Workstation,15.6,8,1.78,2408,Full HD,No,2.8,256,SSD
477,Lenovo,Notebook,14,8,1.7,1364,Full HD,No,2.5,180,SSD
478,Dell,Notebook,15.6,8,2.2,675,Full HD,No,1.6,1024,HDD
479,Toshiba,Notebook,13.3,8,1.05,1672,Full HD,No,2.5,256,SSD
480,Dell,Notebook,15.6,8,2.16,1262,Full HD,No,1.8,512,SSD
481,Dell,Notebook,15.6,4,2.18,586.6,Standard,No,2.4,1024,HDD
482,HP,Notebook,13.3,4,1.49,726,Full HD,No,1.6,128,SSD
483,Chuwi,Notebook,15.6,4,1.89,248.9,Full HD,No,1.44,64,Flash Storage
484,Lenovo,Notebook,15.6,4,2.3,565,Standard,No,2,128,SSD
485,Lenovo,Notebook,14,8,1.75,1049,Full HD,No,1.6,256,SSD
486,Dell,Workstation,15.6,16,2.17,2338,Full HD,No,2.7,512,SSD
487,Dell,Notebook,15.6,16,2.06,1899,Full HD,No,2.8,512,SSD
488,Lenovo,Ultrabook,12.5,16,1.36,1798,Full HD,No,2.7,512,SSD
489,Asus,Ultrabook,12.5,16,0.91,1950,Full HD,No,2.7,512,SSD
490,Lenovo,Notebook,15.6,8,2.3,1011.99,Full HD,No,2.5,256,SSD
491,Toshiba,Ultrabook,13.3,32,1.05,2799,Full HD,Yes,2.7,512,SSD
492,Asus,Gaming,15.6,8,1.99,1350,Full HD,No,2.8,128,SSD
493,Acer,Notebook,15.6,8,2.2,579,Standard,No,2.5,1024,HDD
494,Asus,Gaming,17.3,24,4.33,1269,Full HD,Yes,2.6,256,SSD
495,Lenovo,Ultrabook,12.5,8,1.3,1099,Standard,No,2.3,180,SSD
496,Lenovo,Notebook,15.6,8,2.17,898.9,Full HD,No,1.8,256,SSD
497,HP,Notebook,14,8,1.48,1749,Full HD,No,2.8,1024,SSD
498,Lenovo,Notebook,13.3,8,1.4,949,Full HD,No,2.4,256,SSD
499,Lenovo,Notebook,15.6,8,2.3,911,Full HD,No,2.5,256,SSD
500,Asus,Netbook,11.6,4,1.2,340,Standard,No,1.1,64,Flash Storage
501,HP,Notebook,15.6,8,1.91,618.99,Standard,No,2.5,256,SSD
502,Lenovo,2 in 1 Convertible,13.9,8,1.4,1599,Full HD,Yes,1.6,256,SSD
503,Lenovo,Notebook,14,4,2.1,299,Standard,No,1.1,500,HDD
504,Lenovo,Netbook,11.6,4,1.25,265,Standard,No,1.6,16,SSD
505,Lenovo,Notebook,13.3,8,1.44,949,Full HD,No,2.5,256,SSD
506,Asus,Notebook,15.6,8,2,1224,Full HD,No,2.7,256,SSD
507,Acer,Notebook,15.6,4,2.2,613,Full HD,No,1.6,1024,HDD
508,HP,Ultrabook,13.3,8,1.34,1323,Full HD,No,2.7,512,SSD
509,Lenovo,Gaming,15.6,8,2.4,1149,Full HD,No,2.8,256,SSD
510,Dell,Ultrabook,13.3,8,1.29,899,Full HD,Yes,2.5,128,SSD
511,Acer,Notebook,15.6,4,2.2,639,Full HD,No,2.7,500,HDD
512,Dell,Notebook,15.6,8,2.18,836,Full HD,No,2.5,1024,HDD
513,Dell,Notebook,15.6,16,2.2,1219.24,Full HD,No,1.8,256,SSD
